ID	x	y
A_GutCatV1_c1214_10_GutGetoPosi	-2.1080656	-5.9281397
A_GutCatV1_c1214_12_GutGetoPosi	-5.4518976	-5.4974594
A_GutCatV1_c1214_13_GutGetoPosi	-8.453202	-4.156595
A_GutCatV1_c1214_14_GutGetoPosi	-3.7354317	-6.289589
A_GutCatV1_c1214_16_GutGetoPosi	-0.80592823	-6.284563
A_GutCatV1_c1214_17_GutGetoPosi	-8.329192	-7.367131
A_GutCatV1_c1214_18_GutGetoPosi	-8.324232	-7.5591154
A_GutCatV1_c1214_19_GutGetoPosi	-9.167732	-5.363695
A_GutCatV1_c1214_1_GutGetoPosi	-5.813946	-3.2993164
A_GutCatV1_c1214_1_GutProdPosi	10.873913	3.114357
A_GutCatV1_c1214_20_GutGetoPosi	-3.3312302	-3.5662231
A_GutCatV1_c1214_22_GutGetoPosi	-6.20216	-4.503748
A_GutCatV1_c1214_23_GutGetoPosi	-2.7472973	-4.6579504
A_GutCatV1_c1214_24_GutGetoPosi	-3.2646255	-4.4728394
A_GutCatV1_c1214_25_GutGetoPosi	-3.2310858	-3.9250069
A_GutCatV1_c1214_28_GutGetoPosi	-6.8543415	-1.4781837
A_GutCatV1_c1214_29_GutGetoPosi	-7.0942345	-4.8939753
A_GutCatV1_c1214_2_GutGetoPosi	-8.569265	-5.182087
A_GutCatV1_c1214_2_GutProdPosi	0.9206009	-0.03318405
A_GutCatV1_c1214_30_GutGetoPosi	-2.221283	-0.99944115
A_GutCatV1_c1214_31_GutGetoPosi	-7.787922	-2.1336975
A_GutCatV1_c1214_32_GutGetoPosi	-3.1168385	-3.024045
A_GutCatV1_c1214_34_GutGetoNega	-4.1918755	-5.439295
A_GutCatV1_c1214_35_GutGetoNega	-0.20687771	-4.578393
A_GutCatV1_c1214_36_GutGetoNega	-0.10588741	-2.5264397
A_GutCatV1_c1214_37_GutGetoNega	-1.945713	-2.3328094
A_GutCatV1_c1214_38_GutGetoNega	-1.5439129	-4.1038237
A_GutCatV1_c1214_39_GutGetoNega	-1.1794815	-2.1820297
A_GutCatV1_c1214_3_GutGetoPosi	-8.385261	-4.1925964
A_GutCatV1_c1214_3_GutProdPosi	4.3037205	14.325912
A_GutCatV1_c1214_40_GutGetoNega	-1.4682131	-3.5008326
A_GutCatV1_c1214_41_GutGetoNega	-2.662138	-2.9937038
A_GutCatV1_c1214_42_GutGetoNega	-2.9502392	-2.7494545
A_GutCatV1_c1214_43_GutGetoNega	2.6899014	-3.6959229
A_GutCatV1_c1214_44_GutGetoNega	-4.783289	1.2870684
A_GutCatV1_c1214_46_GutGetoNega	-1.2432718	-4.997511
A_GutCatV1_c1214_47_GutGetoNega	-3.3056183	-5.071786
A_GutCatV1_c1214_48_GutGetoNega	-1.3636112	-3.3914719
A_GutCatV1_c1214_49_GutGetoNega	-0.36603737	-3.068737
A_GutCatV1_c1214_4_GutGetoPosi	-7.686058	-6.0111513
A_GutCatV1_c1214_4_GutProdNega	-2.9931374	-2.3681345
A_GutCatV1_c1214_50_GutGetoNega	-4.586687	-1.1738386
A_GutCatV1_c1214_51_GutGetoNega	-5.3093224	1.1661749
A_GutCatV1_c1214_52_GutGetoNega	-0.3595543	-4.658538
A_GutCatV1_c1214_53_GutGetoNega	-4.84243	-3.4600697
A_GutCatV1_c1214_54_GutGetoNega	-4.160941	1.7208881
A_GutCatV1_c1214_55_GutGetoNega	-1.828392	-2.7935448
A_GutCatV1_c1214_56_GutGetoNega	-3.8987627	1.8792162
A_GutCatV1_c1214_57_GutGetoNega	-3.2506504	-8.342127
A_GutCatV1_c1214_58_GutGetoNega	-4.514799	-1.4844217
A_GutCatV1_c1214_59_GutGetoNega	-5.8098955	-2.7554102
A_GutCatV1_c1214_5_GutGetoPosi	-8.33569	-7.224758
A_GutCatV1_c1214_5_GutProdPosi	-0.36425972	1.5648975
A_GutCatV1_c1214_60_GutGetoNega	-3.8787403	0.6689968
A_GutCatV1_c1214_6_GutGetoPosi	-6.5524483	-1.7819672
A_GutCatV1_c1214_6_GutProdPosi	-7.232876	-0.17473412
A_GutCatV1_c1214_7_GutGetoPosi	-8.087238	-4.7269535
A_GutCatV1_c1214_7_GutProdPosi	-12.727001	8.623058
A_GutCatV1_c1214_8_GutGetoPosi	-3.375801	-7.306611
A_GutCatV1_c1214_9_GutGetoPosi	-2.552435	-8.6319065
A_GutCatV1_c1286_11_GutGetoPosi	-5.477783	-4.1251984
A_GutCatV1_c1286_12_GutGetoPosi	-9.13532	-5.053541
A_GutCatV1_c1286_14_GutGetoPosi	-0.856678	-3.4803696
A_GutCatV1_c1286_15_GutGetoPosi	-3.3474388	-5.3536816
A_GutCatV1_c1286_16_GutGetoPosi	-7.343752	-4.0695734
A_GutCatV1_c1286_17_GutGetoPosi	-8.526457	-6.4528522
A_GutCatV1_c1286_18_GutGetoPosi	-2.272665	-8.282505
A_GutCatV1_c1286_19_GutGetoPosi	-8.889618	-7.006481
A_GutCatV1_c1286_1_GutGetoPosi	-6.5281067	-2.5033894
A_GutCatV1_c1286_1_GutProdPosi	10.843258	3.433916
A_GutCatV1_c1286_21_GutGetoPosi	-7.154812	-1.5617218
A_GutCatV1_c1286_22_GutGetoPosi	-1.7670269	-4.689186
A_GutCatV1_c1286_23_GutGetoPosi	-3.123188	-4.3461246
A_GutCatV1_c1286_24_GutGetoPosi	-2.448166	-4.7026396
A_GutCatV1_c1286_25_GutGetoPosi	-4.1058817	-5.9388065
A_GutCatV1_c1286_26_GutGetoPosi	-4.799473	-5.397024
A_GutCatV1_c1286_27_GutGetoPosi	-4.300638	-6.6331196
A_GutCatV1_c1286_28_GutGetoPosi	-5.6440907	-4.5217056
A_GutCatV1_c1286_2_GutGetoPosi	-7.727025	-5.1887054
A_GutCatV1_c1286_2_GutProdPosi	0.7196131	-0.48531246
A_GutCatV1_c1286_30_GutGetoPosi	-6.4467487	-2.7342777
A_GutCatV1_c1286_32_GutGetoPosi	-4.3631706	-7.173706
A_GutCatV1_c1286_33_GutGetoPosi	-7.534872	-5.078039
A_GutCatV1_c1286_36_GutGetoPosi	-8.317726	-2.7879238
A_GutCatV1_c1286_38_GutGetoPosi	-6.4035797	-6.1429586
A_GutCatV1_c1286_39_GutGetoPosi	-7.090124	-1.9076414
A_GutCatV1_c1286_3_GutGetoPosi	-7.3303413	-6.236973
A_GutCatV1_c1286_3_GutProdPosi	4.0172977	14.543385
A_GutCatV1_c1286_40_GutGetoPosi	-7.7974243	-1.6097221
A_GutCatV1_c1286_41_GutGetoPosi	-7.1139793	-5.726776
A_GutCatV1_c1286_43_GutGetoPosi	-4.4348936	-3.7778368
A_GutCatV1_c1286_44_GutGetoNega	-4.7939415	1.6560888
A_GutCatV1_c1286_45_GutGetoNega	-3.5550327	1.2507591
A_GutCatV1_c1286_46_GutGetoNega	-4.1724644	-1.5199585
A_GutCatV1_c1286_47_GutGetoNega	-1.271574	-3.939372
A_GutCatV1_c1286_48_GutGetoNega	-2.2936535	-1.5287056
A_GutCatV1_c1286_49_GutGetoNega	-0.88244057	-6.628784
A_GutCatV1_c1286_4_GutGetoPosi	-7.5045757	-6.1681023
A_GutCatV1_c1286_4_GutProdPosi	-0.2841339	0.9395256
A_GutCatV1_c1286_50_GutGetoNega	-4.182293	-0.048545837
A_GutCatV1_c1286_51_GutGetoNega	-2.5325508	-4.126977
A_GutCatV1_c1286_52_GutGetoNega	-2.0404148	-2.523919
A_GutCatV1_c1286_53_GutGetoNega	-1.591053	-8.6613655
A_GutCatV1_c1286_54_GutGetoNega	-1.7322626	-2.7611933
A_GutCatV1_c1286_55_GutGetoNega	-0.8800411	-4.8977394
A_GutCatV1_c1286_56_GutGetoNega	-4.7883434	2.1741514
A_GutCatV1_c1286_57_GutGetoNega	-3.889389	-3.1981335
A_GutCatV1_c1286_58_GutGetoNega	-3.828905	-1.0378494
A_GutCatV1_c1286_59_GutGetoNega	-4.369563	-1.5842171
A_GutCatV1_c1286_5_GutGetoPosi	-4.093441	-4.452488
A_GutCatV1_c1286_5_GutProdPosi	-0.28560352	1.2225447
A_GutCatV1_c1286_60_GutGetoNega	-2.4156055	-2.1367073
A_GutCatV1_c1286_61_GutGetoNega	-4.589196	1.2147102
A_GutCatV1_c1286_62_GutGetoNega	-1.2020111	-3.3131905
A_GutCatV1_c1286_63_GutGetoNega	-0.89786816	-7.836211
A_GutCatV1_c1286_64_GutGetoNega	-2.967495	-1.7186489
A_GutCatV1_c1286_65_GutGetoNega	2.284256	-3.613121
A_GutCatV1_c1286_66_GutGetoNega	-0.583292	-7.9319944
A_GutCatV1_c1286_67_GutGetoNega	-4.3436947	-3.7566442
A_GutCatV1_c1286_6_GutGetoPosi	-7.744629	-6.1875534
A_GutCatV1_c1286_6_GutProdPosi	-7.326416	0.15295887
A_GutCatV1_c1286_7_GutGetoPosi	-5.2308807	-4.3368225
A_GutCatV1_c1286_7_GutProdPosi	-0.53886604	1.7159157
A_GutCatV1_c1286_8_GutGetoPosi	-7.8713207	-4.5743866
A_GutCatV1_c1286_8_GutProdPosi	-0.5631676	-0.06121826
A_GutCatV1_c1286_9_GutGetoPosi	-1.259656	-8.488363
A_GutCatV1_c1286_9_GutProdPosi	-12.898277	9.9326935
A_GutCatV1_c1556_11_GutGetoPosi	-7.496649	-4.6454773
A_GutCatV1_c1556_12_GutGetoPosi	-9.048273	-4.5672684
A_GutCatV1_c1556_14_GutGetoPosi	-9.434299	-6.2667465
A_GutCatV1_c1556_15_GutGetoPosi	-7.7363033	-5.126421
A_GutCatV1_c1556_16_GutGetoPosi	-1.6338873	-4.23079
A_GutCatV1_c1556_17_GutGetoPosi	-6.6559563	-4.7322016
A_GutCatV1_c1556_19_GutGetoPosi	-5.276026	-2.712614
A_GutCatV1_c1556_1_GutGetoPosi	-6.6851463	-3.7230911
A_GutCatV1_c1556_1_GutProdPosi	10.659374	3.9109116
A_GutCatV1_c1556_20_GutGetoPosi	-3.8572826	-6.257345
A_GutCatV1_c1556_21_GutGetoPosi	-5.473528	-3.3826408
A_GutCatV1_c1556_22_GutGetoPosi	-6.28508	-5.88056
A_GutCatV1_c1556_23_GutGetoPosi	-7.398287	-2.4190006
A_GutCatV1_c1556_24_GutGetoPosi	-7.1284237	-6.6299305
A_GutCatV1_c1556_25_GutGetoPosi	-8.010035	-5.7677727
A_GutCatV1_c1556_28_GutGetoPosi	-4.0131283	-4.3267574
A_GutCatV1_c1556_2_GutGetoPosi	-5.3040714	-4.0275755
A_GutCatV1_c1556_2_GutProdPosi	0.528986	-0.00011634827
A_GutCatV1_c1556_30_GutGetoPosi	-5.8024673	-4.6202126
A_GutCatV1_c1556_33_GutGetoPosi	-5.801465	-2.2871552
A_GutCatV1_c1556_35_GutGetoNega	-3.8611927	-2.540657
A_GutCatV1_c1556_36_GutGetoNega	-3.1655693	-3.20994
A_GutCatV1_c1556_37_GutGetoNega	-2.5129957	-3.1689386
A_GutCatV1_c1556_38_GutGetoNega	-4.0198784	-4.378186
A_GutCatV1_c1556_39_GutGetoNega	-4.451277	1.6502056
A_GutCatV1_c1556_3_GutGetoPosi	-7.82987	-4.5524874
A_GutCatV1_c1556_3_GutProdPosi	4.2196074	14.748585
A_GutCatV1_c1556_40_GutGetoNega	-1.0121622	-2.0121784
A_GutCatV1_c1556_41_GutGetoNega	-3.8718424	0.31246185
A_GutCatV1_c1556_42_GutGetoNega	-4.649021	1.4636536
A_GutCatV1_c1556_43_GutGetoNega	-2.2198372	-5.057459
A_GutCatV1_c1556_44_GutGetoNega	-0.32722855	-3.043129
A_GutCatV1_c1556_45_GutGetoNega	-0.7579422	-1.122921
A_GutCatV1_c1556_46_GutGetoNega	-1.0295134	-4.297447
A_GutCatV1_c1556_47_GutGetoNega	-2.987753	-4.0466785
A_GutCatV1_c1556_48_GutGetoNega	-1.5261002	-4.3226404
A_GutCatV1_c1556_49_GutGetoNega	-5.327608	-1.8313961
A_GutCatV1_c1556_4_GutGetoPosi	-9.037689	-5.0823326
A_GutCatV1_c1556_4_GutProdPosi	-12.743565	8.991431
A_GutCatV1_c1556_50_GutGetoNega	-4.449875	-1.8478947
A_GutCatV1_c1556_51_GutGetoNega	1.7618923	-3.7068586
A_GutCatV1_c1556_52_GutGetoNega	-3.617529	-3.4081287
A_GutCatV1_c1556_53_GutGetoNega	2.5661755	-3.584818
A_GutCatV1_c1556_54_GutGetoNega	-3.888464	1.0989981
A_GutCatV1_c1556_55_GutGetoNega	-4.032153	0.7380314
A_GutCatV1_c1556_56_GutGetoNega	-1.9218483	-3.2279987
A_GutCatV1_c1556_57_GutGetoNega	-2.3762054	-2.6486988
A_GutCatV1_c1556_58_GutGetoNega	-3.8955975	1.3371897
A_GutCatV1_c1556_59_GutGetoNega	-4.9043436	0.97623634
A_GutCatV1_c1556_5_GutGetoPosi	-6.8051767	-3.7709808
A_GutCatV1_c1556_5_GutProdPosi	-0.8362808	1.2368164
A_GutCatV1_c1556_60_GutGetoNega	-4.41675	-0.16967773
A_GutCatV1_c1556_61_GutGetoNega	-4.407118	-2.3207092
A_GutCatV1_c1556_62_GutGetoNega	-4.3408184	1.6024666
A_GutCatV1_c1556_63_GutGetoNega	2.7636929	-3.7341805
A_GutCatV1_c1556_64_GutGetoNega	-1.6096802	-1.2404776
A_GutCatV1_c1556_65_GutGetoNega	-2.2851353	-3.5428658
A_GutCatV1_c1556_6_GutGetoPosi	-1.2195663	-9.415829
A_GutCatV1_c1556_6_GutProdPosi	-0.881238	-0.016906738
A_GutCatV1_c1556_7_GutGetoPosi	-8.574665	-5.633936
A_GutCatV1_c1556_7_GutProdPosi	-0.45166588	1.1656456
A_GutCatV1_c1556_8_GutGetoPosi	-5.4557037	-5.0691376
A_GutCatV1_c1556_8_GutProdPosi	-6.9696198	-0.068273544
A_GutCatV1_c1556_9_GutGetoPosi	-6.743639	-3.4233828
A_GutCatV1_c1595_10_GutGetoPosi	1.2998362	-4.0306396
A_GutCatV1_c1595_11_GutGetoPosi	-0.6062355	-2.4731083
A_GutCatV1_c1595_12_GutGetoPosi	1.9957142	-2.1823425
A_GutCatV1_c1595_13_GutGetoPosi	0.9545727	-4.264474
A_GutCatV1_c1595_14_GutGetoPosi	0.53492737	-3.690012
A_GutCatV1_c1595_15_GutGetoPosi	1.1868019	-3.2789345
A_GutCatV1_c1595_17_GutGetoPosi	0.5755205	-4.623064
A_GutCatV1_c1595_18_GutGetoPosi	0.63423157	-5.1118317
